Name,Type,Socket,TDP,Price,Compatible
# === ВИНТАЖНЫЕ ПРОЦЕССОРЫ (Socket 775, AM2, AM3) ===
Intel Pentium 4 3.0GHz,CPU,Socket 775,89,500,1
Intel Core 2 Duo E8400,CPU,Socket 775,65,800,1
Intel Core 2 Quad Q6600,CPU,Socket 775,105,1200,1
Intel Core 2 Extreme QX9650,CPU,Socket 775,130,2500,0
AMD Athlon 64 X2 6000+,CPU,AM2,125,600,1
AMD Phenom II X4 965,CPU,AM3,125,1500,1
AMD Phenom II X6 1100T,CPU,AM3,125,2000,0

# === СТАРЫЕ ПРОЦЕССОРЫ (Socket 1156, 1155, 1150, AM3+) ===
Intel Core i3-530,CPU,LGA1156,73,1000,1
Intel Core i5-750,CPU,LGA1156,95,1200,1
Intel Core i7-920,CPU,LGA1366,130,1500,1
Intel Core i3-2100,CPU,LGA1155,65,1500,1
Intel Core i5-2500K,CPU,LGA1155,95,2500,1
Intel Core i7-2700K,CPU,LGA1155,95,3500,0
Intel Core i5-3470,CPU,LGA1155,77,2000,1
Intel Core i7-3770K,CPU,LGA1155,77,4000,0
Intel Core i5-4460,CPU,LGA1150,84,2500,1
Intel Core i7-4790K,CPU,LGA1150,88,5000,0
Intel Core i5-6600K,CPU,LGA1151,91,4500,1
Intel Core i7-6700K,CPU,LGA1151,91,7000,0
Intel Core i7-7700K,CPU,LGA1151,91,8000,0
AMD FX-4100,CPU,AM3+,95,1500,1
AMD FX-6300,CPU,AM3+,95,2500,1
AMD FX-8350,CPU,AM3+,125,4000,0
AMD FX-9590,CPU,AM3+,220,6000,0

# === СОВРЕМЕННЫЕ ПРОЦЕССОРЫ (LGA1200, LGA1700, AM4, AM5) ===
Intel Core i3-10100F,CPU,LGA1200,65,6000,1
Intel Core i5-10400F,CPU,LGA1200,65,8000,1
Intel Core i7-10700K,CPU,LGA1200,125,15000,0
Intel Core i3-12100F,CPU,LGA1700,58,9000,1
Intel Core i5-12400F,CPU,LGA1700,65,14500,1
Intel Core i5-13600KF,CPU,LGA1700,125,29000,1
Intel Core i7-13700K,CPU,LGA1700,125,42000,0
Intel Core i9-13900K,CPU,LGA1700,253,58000,0
AMD Ryzen 3 1200,CPU,AM4,65,3000,1
AMD Ryzen 5 2600,CPU,AM4,65,5000,1
AMD Ryzen 5 3600,CPU,AM4,65,8000,1
AMD Ryzen 7 3700X,CPU,AM4,65,12000,1
AMD Ryzen 5 5600X,CPU,AM4,65,14000,1
AMD Ryzen 7 5700X,CPU,AM4,65,17500,1
AMD Ryzen 7 5800X3D,CPU,AM4,105,31000,0
AMD Ryzen 5 7600X,CPU,AM5,105,22000,0
AMD Ryzen 7 7700X,CPU,AM5,105,33000,0
AMD Ryzen 9 7950X,CPU,AM5,170,50000,0

# === ВИНТАЖНЫЕ ВИДЕОКАРТЫ (AGP, PCIe x16 1.0) ===
NVIDIA GeForce FX 5200,GPU,AGP,30,500,1
NVIDIA GeForce 6600 GT,GPU,AGP,50,800,1
ATI Radeon 9600,GPU,AGP,40,600,1
NVIDIA GeForce 7800 GTX,GPU,PCIe x16,86,1500,1
ATI Radeon X1900 XT,GPU,PCIe x16,100,1200,1

